Input (10 fold cross validation),Optimal K,Validation Accuracy,Validation Precision,Test Accuracy,Test Precision
Sms raw,19,0.957,0.991,0.957,0.987
Sms_cleaned,1,0.947,0.99,0.948,1
Sms_cleaned (100 features),1,0.953,0.849,0.952,0.863
Sms_cleaned (250 features),1,0.96,0.9,0.963,0.895
Sms_cleaned (275 features),1,0.961,0.901,0.965,0.905
Sms_cleaned (300 features),1,0.961,0.901,0.967,0.914
Sms_cleaned (325 features),1,0.961,0.905,0.965,0.921
Sms_cleaned (350 features),1,0.959,0.909,0.967,0.922
Sms_cleaned (400 features),1,0.961,0.924,0.964,0.916
Sms_cleaned (450 features),1,0.957,0.919,0.961,0.932
Sms_cleaned (500 features),1,0.955,0.922,0.962,0.938
Sms_cleaned (750 features),1,0.954,0.956,0.956,0.935
Sms_cleaned (1000 features),1,0.949,0.922,0.955,0.95
Sms_cleaned (1500 features),1,0.947,0.922,0.951,0.925
Sms_cleaned (2000 features),1,0.934,0.836,0.946,0.896
Sms_cleaned (2500 features),1,0.932,0.819,0.93,0.759
Sms_cleaned (3000 features),1,0.95,0.985,0.955,0.993
Sms_cleaned (3500 features),1,0.95,0.99,0.953,0.993
Sms_cleaned (4000 features),1,0.949,0.99,0.952,0.993
Sms_cleaned (4500 features),1,0.948,0.991,0.949,0.993
Sms_cleaned (5000 features),1,0.948,0.991,0.949,0.993
