1st Hidden # Neuron,2nd Hidden # Neuron,Test Accuracy,Test Precision
5,5,0.959032702,0.969863583
5,10,0.951820987,0.956055414
5,20,0.957316746,0.960343748
5,30,0.960193458,0.962767389
5,40,0.950424906,0.952258585
5,50,0.943530078,0.944680615
5,60,0.938233826,0.938986143
5,70,0.939513489,0.939801021
5,80,0.941997459,0.942208428
5,90,0.945169697,0.945532992
5,100,0.945610336,0.945576962
10,5,0.947759463,0.94775956
10,10,0.949518498,0.9494992
10,20,0.950952586,0.950966615
10,30,0.952350101,0.952373507
10,40,0.953556869,0.953691496
10,50,0.954606464,0.954901742
10,60,0.955296171,0.955580508
10,70,0.956306483,0.956612076
10,80,0.956790713,0.95707173
10,90,0.957547751,0.957944621
10,100,0.95815398,0.958697175
20,5,0.92400187,0.923748698
20,10,0.947443594,0.946950557
20,20,0.95560079,0.955868656
20,30,0.960581318,0.961120853
20,40,0.963208862,0.964206675
20,50,0.965389957,0.966365777
20,60,0.966616645,0.967821456
20,70,0.967601061,0.968845475
20,80,0.968338081,0.96970172
20,90,0.968773111,0.970354707
20,100,0.969292983,0.970842605
30,5,0.96528268,0.966706946
30,10,0.965812769,0.967249165
30,20,0.966432703,0.967873928
30,30,0.966952797,0.968359478
30,40,0.96745622,0.968925507
30,50,0.967854919,0.969324806
30,60,0.968195007,0.96972635
30,70,0.968417929,0.970068926
30,80,0.968657231,0.97040668
30,90,0.968824683,0.970578181
30,100,0.96898859,0.970834886
40,5,0.968768681,0.970500534
40,10,0.968985684,0.97069492
40,20,0.969205941,0.970885636
40,30,0.969389435,0.971093124
40,40,0.96961658,0.971317157
40,50,0.969855125,0.971526652
40,60,0.970023895,0.971739954
40,70,0.970164235,0.971909466
40,80,0.970220726,0.971994679
40,90,0.970321994,0.972145254
40,100,0.970409315,0.972303345
50,5,0.97055213,0.97238864
50,10,0.970672057,0.972516054
50,20,0.970785317,0.97262859
50,30,0.970878542,0.972735289
50,40,0.970926159,0.97282715
50,50,0.970991173,0.972900688
50,60,0.97104649,0.972963259
50,70,0.971086533,0.973070374
50,80,0.971155354,0.973127082
50,90,0.97123295,0.973200437
50,100,0.971248452,0.973262699
60,5,0.975780366,0.975765144
60,10,0.975651367,0.976456489
60,20,0.975093125,0.976487767
60,30,0.974878371,0.976504236
60,40,0.974904131,0.97685241
60,50,0.974749549,0.976800113
60,60,0.974491896,0.976801044
60,70,0.974330856,0.976731872
60,80,0.974291558,0.976618782
60,90,0.9741828,0.976554097
70,5,0.974374869,0.976635347
70,10,0.97451345,0.97670208
70,20,0.974531643,0.976777706
70,30,0.97447361,0.976780966
70,40,0.974354603,0.976782512
70,50,0.974314897,0.976784909
70,60,0.974204075,0.976752608
70,70,0.974105573,0.97672332
70,80,0.974058093,0.976816302
70,90,0.97401536,0.976745959
80,5,0.973633061,0.976178749
80,10,0.973672103,0.976196263
80,20,0.973707755,0.976248525
80,30,0.973729697,0.976284979
80,40,0.973749884,0.976295822
80,50,0.97373878,0.976316425
80,60,0.973757131,0.976335614
80,70,0.973783375,0.976343541
80,80,0.973781147,0.97637919
80,90,0.973796259,0.976403464
90,5,0.973868577,0.976437057
90,10,0.973871958,0.976414725
90,20,0.973867328,0.976418521
90,30,0.97385539,0.976430062
90,40,0.97385887,0.976417687
90,50,0.973862145,0.976428988
90,60,0.973865247,0.976454945
90,70,0.973841055,0.976471308
90,80,0.973831311,0.97648038
90,90,0.973854271,0.9764966
100,5,0.973857253,0.976470586
100,10,0.973884647,0.976506196
100,20,0.973904762,0.976514147
100,30,0.973894683,0.976514509
100,40,0.973925136,0.976546954
100,50,0.973948667,0.976535396
100,60,0.973954743,0.976535743
100,70,0.973971302,0.976553792
100,80,0.97395038,0.976558762
100,90,0.973971513,0.976598108
5,500,0.954293328,0.953674483
10,500,0.960776692,0.96061558
20,500,0.96401436,0.964249228
30,500,0.965968128,0.966530588
40,500,0.967212559,0.967966684
50,500,0.96807083,0.969018464
60,500,0.968747666,0.969865568
70,500,0.969283216,0.970560108
80,500,0.969737918,0.971143923
90,500,0.970099968,0.971577648
100,500,0.970315007,0.971844865
200,500,0.970653078,0.972261134
300,500,0.970935175,0.972612998
400,500,0.971174514,0.97294634
500,500,0.971379657,0.973207769
5,100,0.94491034,0.944404401
10,100,0.957815485,0.958142227
20,100,0.96294487,0.963840944
30,100,0.965451047,0.96662204
40,100,0.967132776,0.968533181
50,100,0.96826562,0.969852765
60,100,0.969121648,0.97085399
70,100,0.969716822,0.971547412
80,100,0.970187529,0.972111786
90,100,0.970625011,0.97258503
100,100,0.970953138,0.972982827
