dropout (first layer),dropout (second layer),dropout (output layer),Test Accuracy,Test Precision
0.0,0.0,0.0,0.9762955645139874,0.9768960329194294
0.0,0.0,0.05,0.9755227005953994,0.9764656502903422
0.0,0.0,0.1,0.9702822171587608,0.9779388788414481
0.0,0.0,0.15000000000000002,0.9711414564710507,0.9770363832276262
0.0,0.0,0.2,0.9697496242238829,0.9781462234804948
0.0,0.05,0.0,0.9706688814884452,0.9775174781571877
0.0,0.05,0.05,0.9711782753223025,0.9771039339088842
0.0,0.05,0.1,0.9701427783266144,0.9775403273325922
0.0,0.05,0.15000000000000002,0.9706546736988586,0.9772162267535988
0.0,0.05,0.2,0.969981768883082,0.9774445586953098
0.0,0.1,0.0,0.9702512545586846,0.9769840825013911
0.0,0.1,0.05,0.9705402589447107,0.9766697460375277
0.0,0.1,0.1,0.9708640624023276,0.9765125231399907
0.0,0.1,0.15000000000000002,0.9710864083997814,0.9763754506603336
0.0,0.1,0.2,0.9713649835083411,0.9762785329215792
0.0,0.15000000000000002,0.0,0.9715604285839478,0.9761922768043696
0.0,0.15000000000000002,0.05,0.9717631937173917,0.9760840047210102
0.0,0.15000000000000002,0.1,0.9718145707890206,0.9758459201997834
0.0,0.15000000000000002,0.15000000000000002,0.9720368686898336,0.9758274213362298
0.0,0.15000000000000002,0.2,0.9715797203057198,0.9760484133623235
0.0,0.2,0.0,0.9717429322095585,0.9760860700945384
0.0,0.2,0.05,0.9694441326053923,0.9736432875356933
0.0,0.2,0.1,0.9695739753014234,0.9735753113240418
0.0,0.2,0.15000000000000002,0.9697252253328873,0.9735260447897489
0.0,0.2,0.2,0.9698746580835684,0.9735457040705678
0.05,0.0,0.0,0.9700621598454978,0.9736617711281637
0.05,0.0,0.05,0.9702262318778145,0.9736867681826097
0.05,0.0,0.1,0.9703417751125053,0.9737387825185027
0.05,0.0,0.15000000000000002,0.9702360361191957,0.9734416271467448
0.05,0.0,0.2,0.9703950827769725,0.9735003781843158
0.05,0.05,0.0,0.9705438769267042,0.973546345727229
0.05,0.05,0.05,0.9706592007720011,0.9735709159619275
0.05,0.05,0.1,0.9708221976613762,0.9736708597688909
0.05,0.05,0.15000000000000002,0.9709149754007629,0.9737060411795281
0.05,0.05,0.2,0.9708036069954681,0.9734697327742842
0.05,0.1,0.0,0.9708989134213007,0.9734859162860323
0.05,0.1,0.05,0.9709821024198245,0.973501506752392
0.05,0.1,0.1,0.9710880322469999,0.9735458541483208
0.05,0.1,0.15000000000000002,0.9697478537828127,0.9721578359207802
0.05,0.1,0.2,0.9698406868603172,0.972233342298612
0.05,0.15000000000000002,0.0,0.9699478499310237,0.9722645489458469
0.05,0.15000000000000002,0.05,0.9700621766257767,0.9723206557938133
