Max Features,Test Accuracy,Test Precision
100,0.954135927,0.963234298
200,0.958130175,0.965701067
300,0.961780515,0.968538911
400,0.96399205,0.970590005
500,0.964494096,0.969660294
600,0.965945699,0.970805001
700,0.966688121,0.971259721
800,0.967663602,0.971817732
900,0.968336473,0.972068166
1000,0.969055089,0.972577172
1500,0.97449237,0.974356363
2000,0.969595131,0.968111777
2500,0.965989517,0.964212483
3000,0.967986398,0.96646601
3500,0.969184473,0.967873557
4000,0.970026211,0.968951969
4500,0.970296159,0.969163572
5000,0.970530853,0.969360589
