1st Hidden # Neuron,2nd Hidden # Neuron,Test Accuracy,Test Precision
5,500,0.954293328,0.953674483
10,500,0.960776692,0.96061558
20,500,0.96401436,0.964249228
30,500,0.965968128,0.966530588
40,500,0.967212559,0.967966684
50,500,0.96807083,0.969018464
60,500,0.968747666,0.969865568
70,500,0.969283216,0.970560108
80,500,0.969737918,0.971143923
90,500,0.970099968,0.971577648
100,500,0.970315007,0.971844865
200,500,0.970653078,0.972261134
300,500,0.970935175,0.972612998
400,500,0.971174514,0.97294634
500,500,0.971379657,0.973207769
5,100,0.94491034,0.944404401
10,100,0.957815485,0.958142227
20,100,0.96294487,0.963840944
30,100,0.965451047,0.96662204
40,100,0.967132776,0.968533181
50,100,0.96826562,0.969852765
60,100,0.969121648,0.97085399
70,100,0.969716822,0.971547412
80,100,0.970187529,0.972111786
90,100,0.970625011,0.97258503
100,100,0.970953138,0.972982827
