dropout (first layer),Test Accuracy,Test Precision
0.0,0.971915581828901,0.9728723371645422
0.02,0.9732037104903946,0.9734666681240227
0.04,0.9732895768822888,0.9733787745072512
0.06,0.9735901092539185,0.9735482558944206
0.08,0.973461229996229,0.9733096539248969
0.1,0.9732035555768008,0.9730079715706706
0.12,0.9731667967940852,0.9730339640525935
0.14,0.9732679609033499,0.9731247804277127
0.16,0.9730031342708411,0.9730010227229763
0.18,0.9730231520578723,0.9729645720878779
0.2,0.972992694033501,0.9728836384282649
0.22,0.9729887789444985,0.9729766552451729
0.24,0.9729062151061387,0.9729473553345229
0.26,0.9728722364995649,0.9728848219903463
0.28,0.9727912596865258,0.972755736072956
0.3,0.9727204298719441,0.972728388063684
0.32,0.9726579017336472,0.9727359528541724
0.34,0.9726309506737416,0.9726677774845537
0.36,0.9725390473107516,0.9726043421883106
0.38,0.9724692142428447,0.9725209696208055
0.4,0.972320152905408,0.9723900359655288
0.42,0.9722548908836934,0.9723358099612248
0.44,0.9722177210682414,0.972322324714447
0.46,0.9721621766068084,0.9722414872620041
0.48,0.9720595505558304,0.9721649552516288
0.5,0.971994546905317,0.972074939634572
