dropout (output layer),Test Accuracy,Test Precision
0.0,0.9755228997700196,0.9757712684143965
0.02,0.9756515665747807,0.976044190300537
0.04,0.9756945440317546,0.9762330753096444
0.06,0.975393901007558,0.9759684664066695
0.08,0.9755742602654598,0.9762086395540541
0.1,0.9754368120729916,0.9762705369200176
0.12,0.9757067094911067,0.976521148954277
0.14,0.9756837332759708,0.9765302636097307
0.16,0.9758090030469287,0.9767262933116633
0.18,0.9757288463274852,0.9766824255426616
0.2,0.9756398092365839,0.9765450861062587
0.22,0.9754153012139911,0.9763102699159596
0.24,0.9754037524907039,0.9763112411055671
0.26,0.9754122440416435,0.9763312591509089
0.28,0.9752821551933231,0.9762324391363256
0.3,0.975329401626327,0.9762555928782748
0.32,0.975234674567416,0.9761410922322277
0.34,0.9753365608474037,0.9761990330880711
0.36,0.9749122793040376,0.9756460448421622
0.38,0.9749428036881825,0.9757484262155464
0.4,0.9745165241588063,0.9760913715262601
0.42,0.9745271292732611,0.976050645331033
0.44,0.9745256411055772,0.9760019206608989
0.46,0.974556443653057,0.9760027319889809
0.48,0.9745126329822547,0.9759457793377396
0.5,0.9744920127913004,0.9759048211964743
