Max Features,Test Accuracy,Test Precision
100,0.960506693,0.968742216
200,0.963330839,0.970598895
300,0.96572522,0.973010385
400,0.968139544,0.975220585
500,0.968564204,0.976302785
600,0.969444836,0.977465653
700,0.969781664,0.978002242
800,0.970259137,0.978551067
900,0.970516253,0.978915418
1000,0.970644759,0.979147809
1500,0.970586609,0.97938732
2000,0.970559574,0.97951547
2500,0.969487179,0.980331825
3000,0.968846154,0.980027567
3500,0.968803419,0.979463042
4000,0.969166667,0.979193215
4500,0.969589744,0.979141747
5000,0.96974359,0.978919911
