class,sms,stemmed_sms,len
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",go jurong point avail bugi great world la buffet cine got amor wat,111
ham,Ok lar... Joking wif u oni...,ok lar joke wif oni,29
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entri wkli comp win fa cup final tkt may text fa receiv entri question std txt rate appli,155
ham,U dun say so early hor... U c already then say...,dun say earli hor alreadi say,49
ham,"Nah I don't think he goes to usf, he lives around here though",nah think goe usf live around though,61
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",freemsg hey darl week word back like fun still tb ok xxx std chg send rcv,148
ham,Even my brother is not like to speak with me. They treat me like aids patent.,even brother like speak treat like aid patent,77
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun,160
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner valu network custom select receivea prize reward claim call claim code valid hour,158
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,mobil month entitl updat latest colour mobil camera free call mobil updat co free,154
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",gon na home soon want talk stuff anymor tonight cri enough today,109
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",six chanc win cash pound txt send cost tsandc appli repli hl info,136
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",urgent week free membership prize jackpot txt word claim lccltd pobox,156
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,search right word thank breather promis wont take help grant fulfil promis wonder bless time,196
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,date sunday,35
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",xxxmobilemovieclub use credit click wap link next txt messag click http,149
ham,Oh k...i'm watching here:),oh watch,26
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh rememb spell name ye naughti make wet,81
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,fine thatåõ way feel thatåõ way gota,58
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",england macedonia dont miss news txt ur nation team eg england tri wale scotland,156
ham,Is that seriously how you spell his name?,serious spell name,41
ham,I‰Û÷m going to try for 2 months ha ha only joking,go tri month ha ha joke,49
ham,So Ì_ pay first lar... Then when is da stock comin...,pay first lar da stock comin,53
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft finish lunch go str lor ard smth lor finish ur lunch alreadi,88
ham,Ffffffffff. Alright no way I can meet up with you sooner?,ffffffffff alright way meet sooner,57
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol,144
ham,Lol your always so convincing.,lol alway convinc,30
